t,P,Q
15.200000000000001,33.67161429199136,5.264680715498779
15.25,34.62683223995753,5.5516048511577045
15.3,35.55492005943949,5.87489323087246
15.350000000000001,36.44532404197145,6.238263733846059
15.4,37.28617179217594,6.645672664706838
15.450000000000001,38.06427517088614,7.101242627325626
15.5,38.765197570304764,7.609150375462139
15.55,39.37340765568891,8.173464519605329
15.600000000000001,39.87254359611725,8.797923268081455
15.65,40.24581124367314,9.485644465371093
15.700000000000001,40.476535179651194,10.238764909214526
15.75,40.54887137288715,11.05801409452226
15.8,40.44867302885535,11.942239624105124
15.850000000000001,40.16447667208112,12.887917235822135
15.9,39.68854508309909,13.888696107846755
15.950000000000001,39.017871556845314,14.935046500170216
16.0,38.15502314644366,16.01408689966958
16.05,37.108688271834026,17.109665876757113
16.1,35.893805224204954,18.202755033604312
16.150000000000002,34.53118780690834,19.272172324166178
16.2,33.04663038387828,20.295603749374443
16.25,31.469555669790573,21.25083604473728
16.3,29.831346192005192,22.117067410336542
16.35,28.16355430096781,22.876140898955693
16.400000000000002,26.49620129257856,23.513553358976456
16.45,24.856350200431272,24.019130398027848
16.5,23.267077986220944,24.387314602241627
16.55,21.74689850622756,24.617075327078204
16.6,20.309616765016383,24.71149950479628
16.650000000000002,18.96454201210879,24.67715486658695
16.7,17.7169587422713,24.523327315756948
16.75,16.568749536014085,24.261226262271848
16.8,15.519075838688465,23.903232087500502
16.85,14.56504442541209,23.46223556490139
16.900000000000002,13.702311484171519,22.95109560373401
16.95,12.925598169697414,22.382222499517226
17.0,12.229108668535723,21.767280284420632
17.05,11.606853656592753,21.116993600756675
17.1,11.052889063999562,20.44104078158255
17.150000000000002,10.561483354764652,19.748014251691902
17.2,10.127227237057637,19.045430770288277
17.25,9.745098851134076,18.33977647197953
17.3,9.410495801415909,17.636574452721334
17.35,9.119243429257295,16.940465369060806
17.400000000000002,8.867586783249381,16.255293942653825
17.45,8.652172005265664,15.584196291341366
17.5,8.470021383858152,14.929684630266824
17.55,8.318505142504723,14.29372713485959
17.6,8.195312106204023,13.677821686133196
17.650000000000002,8.0984206890277,13.083062887134705
17.7,8.026071126799296,12.51020220377689
17.75,7.976739504649311,11.959701392636937
17.8,7.949113865351853,11.431779572991047
17.85,7.942072503453597,10.926454412413198
17.900000000000002,7.954664430266563,10.443577949373244
17.95,7.986091918782669,9.982867590961062
18.0,8.035694992582977,9.543932812763783
18.05,8.10293769927123,9.12629806084028
18.1,8.187395999849707,8.729422319584492
18.150000000000002,8.288747105728595,8.352715768807686
18.2,8.406760101138964,7.995553911787972
18.25,8.541287698106762,7.657289515391848
18.3,8.692258982129154,7.337262664928316
18.35,8.859673018126363,7.034809200858917
18.400000000000002,9.043593197370635,6.749267772189595
18.45,9.244142216444713,6.47998571239815
18.5,9.461497588569161,6.226323918032525
18.55,9.695887595700334,5.987660887485098
18.6,9.947587596558238,5.763396057690875
18.650000000000002,10.216916611163205,5.552952559376042
18.7,10.504234106535343,5.355779496759065
18.75,10.809936910943497,5.17135384505094
18.8,11.134456185482225,4.999182048503411
18.85,11.478254381797578,4.838801392925357
18.900000000000002,11.84182211345224,4.689781219362894
18.95,12.225674865675266,4.551724039877677
19.0,12.630349464016842,4.424266611943869
19.05,13.056400216634907,4.30708102482405
19.1,13.504394637462537,4.19987584930643
19.150000000000002,13.974908648199335,4.102397401338636
19.200000000000003,14.468521145765216,4.014431170343455
19.25,14.985807808351545,3.935803464330728
19.3,15.527333997277811,3.866383326319844
19.35,16.09364659326605,3.806084780058112
19.400000000000002,16.68526458422175,3.7548694675598124
19.450000000000003,17.302668196901607,3.7127497465859407
19.5,17.946286336721517,3.6797923227968434
19.55,18.616482068234806,3.6561224988537044
19.6,19.313535833420516,3.6419291310586623
